Monster	AttackStyle	XP/hr	GP/hr	Cost/hr	Profitability	XP	Options
Reanimated Hellhound	mage-def	532.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	atk-str-def	545.7k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	range	546.3k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	mage	538k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	range-def	546.2k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	mage-def	543.9k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Demon	atk-str-def	516.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	range	520.2k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	mage	513.3k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	range-def	530.8k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	mage-def	524.3k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	atk-str-def	531.5k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	range	525.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	mage	535.2k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	range-def	528.2k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	mage-def	532.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	atk-str-def	519.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	range	539.2k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	mage	528.6k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	range-def	515.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Demon	mage-def	511k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	515619	
Reanimated Tzhaar	atk-str-def	508.3k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	range	488.6k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	mage	515.5k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	range-def	495.6k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	mage-def	501.3k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	atk-str-def	500.2k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	range	508.6k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	mage	508.5k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	range-def	495.3k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	mage-def	499.5k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	atk-str-def	491k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	range	501.5k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	mage	509.9k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	range-def	514.1k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Reanimated Tzhaar	mage-def	510.2k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	492849	
Ankou	mage-def	502.2k XP/hr	688.9k GP/hr	1.1m cost gp/hr	0.6	484245	Barrage
Ankou	mage	495.9k XP/hr	731.9k GP/hr	1.1m cost gp/hr	0.7	484245	Barrage
Ankou	mage	489.6k XP/hr	625.6k GP/hr	1.1m cost gp/hr	0.6	484245	Barrage
Ankou	mage-def	505.9k XP/hr	745.6k GP/hr	1.1m cost gp/hr	0.7	484245	Barrage
Ankou	mage-def	509.5k XP/hr	734.6k GP/hr	1.1m cost gp/hr	0.7	484245	Barrage
Warped Jelly	mage-def	497.3k XP/hr	760.2k GP/hr	1.2m cost gp/hr	0.7	482791	Barrage
Warped Jelly	mage	504k XP/hr	911.2k GP/hr	1.2m cost gp/hr	0.8	482791	Barrage
Warped Jelly	mage	501.9k XP/hr	679.7k GP/hr	1.2m cost gp/hr	0.6	482791	Barrage
Warped Jelly	mage-def	487.6k XP/hr	724.3k GP/hr	1.1m cost gp/hr	0.6	482791	Barrage
Warped Jelly	mage-def	491.3k XP/hr	901.5k GP/hr	1.1m cost gp/hr	0.8	482791	Barrage
Reanimated Bloodveld	atk-str-def	473.7k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	range	490.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	mage	469.7k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	range-def	492.7k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	mage-def	472.5k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	atk-str-def	492.1k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	range	490.8k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	mage	485.5k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	range-def	485k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	mage-def	470.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	atk-str-def	485.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	range	485.9k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	mage	481.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	range-def	468.2k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Bloodveld	mage-def	470.9k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	470769	
Reanimated Dagannoth	atk-str-def	456.2k XP/hr	0 GP/hr	1.5m cost gp/hr	0.0	434889	
Reanimated Dagannoth	range	445.2k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	434889	
Reanimated Dagannoth	mage	457.4k XP/hr	0 GP/hr	1.5m cost gp/hr	0.0	434889	
Reanimated Dagannoth	range-def	453.1k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	434889	
Reanimated Dagannoth	mage-def	451.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	434889	
Reanimated Dagannoth	atk-str-def	443.5k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	434889	
Reanimated Dagannoth	range	441.7k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	434889	
Reanimated Dagannoth	mage	440.8k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	434889	
Reanimated Dagannoth	range-def	455.6k XP/hr	0 GP/hr	1.5m cost gp/hr	0.0	434889	
Reanimated Dagannoth	mage-def	438.3k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	434889	
Reanimated Dagannoth	atk-str-def	443.1k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	434889	
Reanimated Dagannoth	range	444.1k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	434889	
Reanimated Dagannoth	mage	450.6k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	434889	
Reanimated Dagannoth	range-def	446.5k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	434889	
Reanimated Dagannoth	mage-def	440.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	434889	
Abyssal Demon	mage-def	437.3k XP/hr	4.8m GP/hr	806.4k cost gp/hr	5.9	426214	Burst
Abyssal Demon	mage	434.9k XP/hr	1.3m GP/hr	802k cost gp/hr	1.6	426214	Burst
Abyssal Demon	mage	431k XP/hr	3m GP/hr	794.7k cost gp/hr	3.7	426214	Burst
Abyssal Demon	mage-def	446.5k XP/hr	4.9m GP/hr	823.2k cost gp/hr	5.9	426214	Burst
Abyssal Demon	mage-def	446.1k XP/hr	3.2m GP/hr	822.6k cost gp/hr	3.9	426214	Burst
Reanimated Kalphite	atk-str-def	419k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	range	435.2k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	mage	418.2k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	range-def	427.1k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	mage-def	426.1k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	atk-str-def	416.8k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	range	419k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	mage	417.5k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	range-def	426.8k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	mage-def	430.4k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	atk-str-def	421.8k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	range	427.7k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	mage	433k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	range-def	417.1k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Reanimated Kalphite	mage-def	430.5k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	416949	
Maniacal monkey	mage	424.3k XP/hr	567.4k GP/hr	182.7k cost gp/hr	3.1	404307	Burst
Maniacal monkey	mage	423.1k XP/hr	628.5k GP/hr	182.1k cost gp/hr	3.5	404307	Burst
Maniacal monkey	mage	427.2k XP/hr	531.1k GP/hr	183.9k cost gp/hr	2.9	404307	Burst
Maniacal monkey	mage-def	430.2k XP/hr	618.1k GP/hr	185.2k cost gp/hr	3.3	404307	Burst
Maniacal monkey	mage-def	427.2k XP/hr	563.2k GP/hr	183.9k cost gp/hr	3.1	404307	Burst
Dust Devil	mage	389k XP/hr	2.2m GP/hr	716.9k cost gp/hr	3.0	385497	Barrage
Dust Devil	mage-def	404.5k XP/hr	2.3m GP/hr	745.4k cost gp/hr	3.1	385497	Barrage
Smoke Devil	range	387.3k XP/hr	904.3k GP/hr	238.8k cost gp/hr	3.8	384104	
Smoke Devil	mage	400.5k XP/hr	2.7m GP/hr	247k cost gp/hr	10.9	384104	
Smoke Devil	range-def	401k XP/hr	2.6m GP/hr	247.2k cost gp/hr	10.6	384104	
Smoke Devil	mage-def	402.7k XP/hr	951.2k GP/hr	248.3k cost gp/hr	3.8	384104	
Smoke Devil	range	401.8k XP/hr	842.3k GP/hr	247.8k cost gp/hr	3.4	384104	
Smoke Devil	mage	388.3k XP/hr	883.6k GP/hr	239.4k cost gp/hr	3.7	384104	
Smoke Devil	range-def	387.6k XP/hr	1.1m GP/hr	239k cost gp/hr	4.7	384104	
Smoke Devil	mage-def	385.6k XP/hr	2.6m GP/hr	237.8k cost gp/hr	10.9	384104	
Smoke Devil	atk-str-def	390.7k XP/hr	796.8k GP/hr	240.9k cost gp/hr	3.3	384102	
Smoke Devil	atk-str-def	381.2k XP/hr	1.6m GP/hr	235.1k cost gp/hr	6.9	384102	
Dust Devil	mage-def	385.4k XP/hr	2.3m GP/hr	716.4k cost gp/hr	3.2	382173	Barrage
Dust Devil	mage	395.9k XP/hr	2.4m GP/hr	735.9k cost gp/hr	3.2	382173	Barrage
Dust Devil	mage-def	399.2k XP/hr	2.3m GP/hr	742.1k cost gp/hr	3.1	382173	Barrage
Greater Nechryael	mage	388.5k XP/hr	3m GP/hr	657.5k cost gp/hr	4.5	381574	Barrage
Greater Nechryael	mage-def	378.6k XP/hr	3.5m GP/hr	640.7k cost gp/hr	5.5	381574	Barrage
Greater Nechryael	mage-def	386.6k XP/hr	4.1m GP/hr	654.2k cost gp/hr	6.2	381574	Barrage
Reanimated Horror	atk-str-def	392.4k XP/hr	0 GP/hr	814.6k cost gp/hr	0.0	378999	
Reanimated Horror	range	381.8k XP/hr	0 GP/hr	792.5k cost gp/hr	0.0	378999	
Reanimated Horror	mage	378.2k XP/hr	0 GP/hr	785k cost gp/hr	0.0	378999	
Reanimated Horror	range-def	388.1k XP/hr	0 GP/hr	805.7k cost gp/hr	0.0	378999	
Reanimated Horror	mage-def	387.3k XP/hr	0 GP/hr	804k cost gp/hr	0.0	378999	
Reanimated Horror	atk-str-def	392k XP/hr	0 GP/hr	813.7k cost gp/hr	0.0	378999	
Reanimated Horror	range	383.8k XP/hr	0 GP/hr	796.7k cost gp/hr	0.0	378999	
Reanimated Horror	mage	377.7k XP/hr	0 GP/hr	783.9k cost gp/hr	0.0	378999	
Reanimated Horror	range-def	397.3k XP/hr	0 GP/hr	824.6k cost gp/hr	0.0	378999	
Reanimated Horror	mage-def	396.3k XP/hr	0 GP/hr	822.5k cost gp/hr	0.0	378999	
Reanimated Horror	atk-str-def	380.1k XP/hr	0 GP/hr	788.9k cost gp/hr	0.0	378999	
Reanimated Horror	range	379.5k XP/hr	0 GP/hr	787.7k cost gp/hr	0.0	378999	
Reanimated Horror	mage	383.6k XP/hr	0 GP/hr	796.3k cost gp/hr	0.0	378999	
Reanimated Horror	range-def	386.8k XP/hr	0 GP/hr	802.9k cost gp/hr	0.0	378999	
Reanimated Horror	mage-def	393.5k XP/hr	0 GP/hr	816.9k cost gp/hr	0.0	378999	
Greater Nechryael	mage	382.3k XP/hr	2.9m GP/hr	654k cost gp/hr	4.5	377471	Barrage
Greater Nechryael	mage-def	386.9k XP/hr	3.4m GP/hr	661.8k cost gp/hr	5.2	377471	Barrage
Greater Nechryael	mage	374.4k XP/hr	2.9m GP/hr	640.4k cost gp/hr	4.5	377471	Barrage
Dust Devil	mage-def	382.8k XP/hr	1.9m GP/hr	581.5k cost gp/hr	3.3	376856	Burst
Dust Devil	mage	378.2k XP/hr	2.1m GP/hr	574.5k cost gp/hr	3.6	376856	Burst
Dust Devil	mage	396.9k XP/hr	2.1m GP/hr	602.9k cost gp/hr	3.5	376856	Burst
Dust Devil	mage-def	396.2k XP/hr	2m GP/hr	601.9k cost gp/hr	3.4	376856	Burst
Dust Devil	mage-def	387.8k XP/hr	1.9m GP/hr	589k cost gp/hr	3.2	376856	Burst
Greater Nechryael	mage-def	389.2k XP/hr	2.7m GP/hr	670.7k cost gp/hr	4.0	374736	Barrage
Greater Nechryael	mage-def	394.1k XP/hr	3m GP/hr	679k cost gp/hr	4.4	374736	Barrage
TzHaar-Ket	mage-def	394k XP/hr	3.3m GP/hr	219.9k cost gp/hr	14.9	373090	Barrage
TzHaar-Ket	mage	387.1k XP/hr	4.1m GP/hr	216k cost gp/hr	19.1	373090	Barrage
TzHaar-Ket	mage	387k XP/hr	3.2m GP/hr	215.9k cost gp/hr	14.6	373090	Barrage
TzHaar-Ket	mage-def	392.2k XP/hr	2.5m GP/hr	218.8k cost gp/hr	11.2	373090	Barrage
TzHaar-Ket	mage-def	385.5k XP/hr	3.2m GP/hr	215.1k cost gp/hr	15.1	373090	Barrage
Abyssal Demon	mage-def	376.3k XP/hr	3.2m GP/hr	866.8k cost gp/hr	3.6	372420	Barrage
Abyssal Demon	mage	376.6k XP/hr	10m GP/hr	867.6k cost gp/hr	11.5	372420	Barrage
Abyssal Demon	mage-def	387.2k XP/hr	1.4m GP/hr	892k cost gp/hr	1.5	372420	Barrage
Greater Nechryael	mage-def	372.6k XP/hr	2.7m GP/hr	646.7k cost gp/hr	4.1	372000	Barrage
Greater Nechryael	mage	370.1k XP/hr	2.6m GP/hr	642.4k cost gp/hr	4.1	372000	Barrage
Smoke Devil	mage-def	369k XP/hr	3.4m GP/hr	694k cost gp/hr	4.9	369898	
Abyssal Demon	mage-def	371.9k XP/hr	1.5m GP/hr	863.9k cost gp/hr	1.7	369316	Barrage
Abyssal Demon	mage	374.7k XP/hr	1.4m GP/hr	877.8k cost gp/hr	1.6	366213	Barrage
Reanimated Troll	atk-str-def	373.8k XP/hr	0 GP/hr	814.5k cost gp/hr	0.0	361059	
Reanimated Troll	range	358.2k XP/hr	0 GP/hr	780.4k cost gp/hr	0.0	361059	
Reanimated Troll	mage	361.5k XP/hr	0 GP/hr	787.7k cost gp/hr	0.0	361059	
Reanimated Troll	range-def	375.1k XP/hr	0 GP/hr	817.4k cost gp/hr	0.0	361059	
Reanimated Troll	mage-def	370.8k XP/hr	0 GP/hr	808k cost gp/hr	0.0	361059	
Reanimated Troll	atk-str-def	370.3k XP/hr	0 GP/hr	806.8k cost gp/hr	0.0	361059	
Reanimated Troll	range	357.8k XP/hr	0 GP/hr	779.6k cost gp/hr	0.0	361059	
Reanimated Troll	mage	379.4k XP/hr	0 GP/hr	826.8k cost gp/hr	0.0	361059	
Reanimated Troll	range-def	364.7k XP/hr	0 GP/hr	794.8k cost gp/hr	0.0	361059	
Reanimated Troll	mage-def	360.4k XP/hr	0 GP/hr	785.2k cost gp/hr	0.0	361059	
Reanimated Troll	atk-str-def	372.4k XP/hr	0 GP/hr	811.4k cost gp/hr	0.0	361059	
Reanimated Troll	range	372k XP/hr	0 GP/hr	810.6k cost gp/hr	0.0	361059	
Reanimated Troll	mage	367.1k XP/hr	0 GP/hr	799.9k cost gp/hr	0.0	361059	
Reanimated Troll	range-def	371.3k XP/hr	0 GP/hr	809.1k cost gp/hr	0.0	361059	
Reanimated Troll	mage-def	371.7k XP/hr	0 GP/hr	810k cost gp/hr	0.0	361059	
Smoke Devil	atk-str-def	372k XP/hr	3.2m GP/hr	718.9k cost gp/hr	4.4	359997	
Reanimated Elf	atk-str-def	354.3k XP/hr	0 GP/hr	791.6k cost gp/hr	0.0	352089	
Reanimated Elf	range	351.6k XP/hr	0 GP/hr	785.6k cost gp/hr	0.0	352089	
Reanimated Elf	mage	366.5k XP/hr	0 GP/hr	818.9k cost gp/hr	0.0	352089	
Reanimated Elf	range-def	351.8k XP/hr	0 GP/hr	786.2k cost gp/hr	0.0	352089	
Reanimated Elf	mage-def	350.8k XP/hr	0 GP/hr	783.8k cost gp/hr	0.0	352089	
Reanimated Elf	atk-str-def	351.4k XP/hr	0 GP/hr	785.1k cost gp/hr	0.0	352089	
