Monster	AttackStyle	XP/hr	attack XP/hr	strength XP/hr	defence XP/hr	magic XP/hr	ranged XP/hr	hitpoints XP/hr	slayer XP/hr	Options	Food	GP/hr	Cost/hr	Raw Command	Raw Trip
Aberrant Spectre	range-def	142k XP/hr	0	0	45k	0	45k	29.9k	22.5k		281.4 Sharks/hr	 Loot/hr	281.4/hr Shark Cost/hr	{"duration":143942400,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["ranged","defence"],"currentTaskOptions":{},"messages":["15.00% for stats","10% for KC","20% for Salve amulet (e) on melee task","2% for Shark","Removing items: 11.3k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Aberrant Spectre	range-def	142k XP/hr	0	0	45k	0	45k	29.9k	22.5k		281.4 Sharks/hr	 Loot/hr	281.4/hr Shark Cost/hr	{"duration":143942400,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["ranged","defence"],"currentTaskOptions":{},"messages":["15.00% for stats","10% for KC","20% for Salve amulet (e) on melee task","2% for Shark","Removing items: 11.3k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Aberrant Spectre	range	204k XP/hr	0	0	0	0	128.6k	42.8k	32.2k		401.9 Sharks/hr	 Loot/hr	979.6/hr Cannonball,401.9/hr Shark Cost/hr	{"duration":100763600,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["ranged"],"currentTaskOptions":{},"messages":["15.00% for stats","10% for KC","20% for Salve amulet (e) on melee task","30% for Cannon in singles","2% for Shark","Removing items: 27.4k Cannonball, 11.3k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Aberrant Spectre	range	142k XP/hr	0	0	0	0	90k	29.9k	22.5k		281.4 Sharks/hr	 Loot/hr	281.4/hr Shark Cost/hr	{"duration":143942400,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["ranged"],"currentTaskOptions":{},"messages":["15.00% for stats","10% for KC","20% for Salve amulet (e) on melee task","2% for Shark","Removing items: 11.3k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Aberrant Spectre	range	142k XP/hr	0	0	0	0	90k	29.9k	22.5k		281.4 Sharks/hr	 Loot/hr	281.4/hr Shark Cost/hr	{"duration":143942400,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["ranged"],"currentTaskOptions":{},"messages":["15.00% for stats","10% for KC","20% for Salve amulet (e) on melee task","2% for Shark","Removing items: 11.3k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Abyssal Demon	atk-str-def	170k XP/hr	32.9k	32.9k	32.9k	0	0	32.8k	24.6k		260.8 Sharks/hr	 Loot/hr	260.8/hr Shark Cost/hr	{"duration":217413000,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["attack","strength","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":57},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 1.68% per min (medium peak time)\n**Death Chance:** 2.15% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.29x from risky Wilderness experience, 1x from being in no multi)","Removing items: 15.8k Shark"]}	{"quantity":9921,"messages":["You missed out on 79x kills because of pk encounters","843285 Prayer XP from purifying 9921x Abyssal ashes using the Ash Sanctifier (990079 charges left).","You killed 9921x of your 10000 remaining kills, you now have 79 kills remaining."],"newKC":9921}
Abyssal Demon	atk-str-def	169k XP/hr	32.6k	32.6k	32.6k	0	0	32.5k	24.4k		260.8 Sharks/hr	 Loot/hr	260.8/hr Shark Cost/hr	{"duration":217413000,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["attack","strength","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":59},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 1.68% per min (medium peak time)\n**Death Chance:** 1.76% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.24x from risky Wilderness experience, 1x from being in no multi)","Removing items: 15.8k Shark"]}	{"quantity":9837,"messages":["You missed out on 163x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank.","836145 Prayer XP from purifying 9837x Abyssal ashes using the Ash Sanctifier (990163 charges left).","You killed 9837x of your 10000 remaining kills, you now have 163 kills remaining."],"newKC":9837}
Abyssal Demon	atk-str-def	168k XP/hr	32.5k	32.5k	32.5k	0	0	32.5k	24.4k		260.8 Sharks/hr	 Loot/hr	260.8/hr Shark Cost/hr	{"duration":217413000,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["attack","strength","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":63},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 1.68% per min (medium peak time)\n**Death Chance:** 2.07% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.28x from risky Wilderness experience, 1x from being in no multi)","Removing items: 15.8k Shark"]}	{"quantity":9826,"messages":["You missed out on 174x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank.","835210 Prayer XP from purifying 9826x Abyssal ashes using the Ash Sanctifier (990174 charges left).","You killed 9826x of your 10000 remaining kills, you now have 174 kills remaining."],"newKC":9826}
Abyssal Demon	atk-str-def	240k XP/hr	46.5k	46.5k	46.5k	0	0	46.4k	34.9k		366.0 Sharks/hr	 Loot/hr	366.0/hr Shark Cost/hr	{"duration":154908600,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["attack","strength","defence"],"currentTaskOptions":{},"messages":["15.00% for stats","10% for KC","10% for Arclight","5% for Saradomin godsword","16.67% for Black mask on task","2% for Shark","Removing items: 15.8k Shark"]}	{"quantity":10000,"messages":["850000 Prayer XP from purifying 10000x Abyssal ashes using the Ash Sanctifier (990000 charges left).","**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Abyssal Demon	atk-str-def	240k XP/hr	46.5k	46.5k	46.5k	0	0	46.4k	34.9k		366.0 Sharks/hr	 Loot/hr	366.0/hr Shark Cost/hr	{"duration":154908600,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["attack","strength","defence"],"currentTaskOptions":{},"messages":["15.00% for stats","10% for KC","10% for Arclight","5% for Saradomin godsword","16.67% for Black mask on task","2% for Shark","Removing items: 15.8k Shark"]}	{"quantity":10000,"messages":["850000 Prayer XP from purifying 10000x Abyssal ashes using the Ash Sanctifier (990000 charges left).","**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Abyssal Demon	atk-str-def	240k XP/hr	46.5k	46.5k	46.5k	0	0	46.4k	34.9k		366.0 Sharks/hr	 Loot/hr	366.0/hr Shark Cost/hr	{"duration":154908600,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["attack","strength","defence"],"currentTaskOptions":{},"messages":["15.00% for stats","10% for KC","10% for Arclight","5% for Saradomin godsword","16.67% for Black mask on task","2% for Shark","Removing items: 15.8k Shark"]}	{"quantity":10000,"messages":["850000 Prayer XP from purifying 10000x Abyssal ashes using the Ash Sanctifier (990000 charges left).","**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Abyssal Demon	mage-def	377k XP/hr	0	0	109.5k	0	109.5k	72.8k	54.7k		579.5 Sharks/hr	 Loot/hr	5877.6/hr Water rune,3918.4/hr Death rune,1959.2/hr Blood rune,579.5/hr Shark Cost/hr	{"duration":97843200,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["magic","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":27},"messages":["15.00% for stats","10% for KC","55% for Ice Barrage","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 1.68% per min (medium peak time)\n**Death Chance:** 1.69% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.23x from risky Wilderness experience, 1x from being in no multi)","Removing items: 53.2k Blood rune, 106.5k Death rune, 15.8k Shark, 159.7k Water rune"]}	{"quantity":9917,"messages":["You missed out on 83x kills because of pk encounters","842945 Prayer XP from purifying 9917x Abyssal ashes using the Ash Sanctifier (990083 charges left).","You killed 9917x of your 10000 remaining kills, you now have 83 kills remaining."],"newKC":9917}
Abyssal Demon	mage-def	377k XP/hr	0	0	109.3k	109.3k	0	72.7k	54.6k		579.5 Sharks/hr	 Loot/hr	5877.6/hr Water rune,3918.4/hr Death rune,1959.2/hr Blood rune,579.5/hr Shark Cost/hr	{"duration":97843200,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["magic","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":33},"messages":["15.00% for stats","10% for KC","55% for Ice Barrage","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 1.68% per min (medium peak time)\n**Death Chance:** 1.54% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.21x from risky Wilderness experience, 1x from being in no multi)","Removing items: 53.2k Blood rune, 106.5k Death rune, 15.8k Shark, 159.7k Water rune"]}	{"quantity":9899,"messages":["You missed out on 101x kills because of pk encounters","841415 Prayer XP from purifying 9899x Abyssal ashes using the Ash Sanctifier (990101 charges left).","You killed 9899x of your 10000 remaining kills, you now have 101 kills remaining."],"newKC":9899}
Abyssal Demon	mage-def	261k XP/hr	50.5k	50.5k	50.5k	0	0	50.4k	37.9k		401.2 Sharks/hr	 Loot/hr	3918.4/hr Water rune,1959.2/hr Death rune,3918.4/hr Chaos rune,401.2/hr Shark Cost/hr	{"duration":141325800,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["magic","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":41},"messages":["15.00% for stats","10% for KC","35% for Ice Burst","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 1.68% per min (medium peak time)\n**Death Chance:** 1.36% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.18x from risky Wilderness experience, 1x from being in no multi)","Removing items: 153.8k Chaos rune, 76.9k Death rune, 15.8k Shark, 153.8k Water rune"]}	{"quantity":9913,"messages":["You missed out on 87x kills because of pk encounters","842605 Prayer XP from purifying 9913x Abyssal ashes using the Ash Sanctifier (990087 charges left).","You killed 9913x of your 10000 remaining kills, you now have 87 kills remaining."],"newKC":9913}
Abyssal Demon	mage-def	170k XP/hr	0	0	49.3k	49.3k	0	32.8k	24.6k		260.8 Sharks/hr	 Loot/hr	260.8/hr Shark Cost/hr	{"duration":217413000,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["magic","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":58},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 1.68% per min (medium peak time)\n**Death Chance:** 1.64% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.22x from risky Wilderness experience, 1x from being in no multi)","Removing items: 15.8k Shark"]}	{"quantity":9920,"messages":["You missed out on 80x kills because of pk encounters","843200 Prayer XP from purifying 9920x Abyssal ashes using the Ash Sanctifier (990080 charges left).","You killed 9920x of your 10000 remaining kills, you now have 80 kills remaining."],"newKC":9920}
Abyssal Demon	mage-def	170k XP/hr	0	0	49.2k	49.2k	0	32.7k	24.6k		260.8 Sharks/hr	 Loot/hr	260.8/hr Shark Cost/hr	{"duration":217413000,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["magic","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":62},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 1.68% per min (medium peak time)\n**Death Chance:** 2.13% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.28x from risky Wilderness experience, 1x from being in no multi)","Removing items: 15.8k Shark"]}	{"quantity":9914,"messages":["You missed out on 86x kills because of pk encounters","842690 Prayer XP from purifying 9914x Abyssal ashes using the Ash Sanctifier (990086 charges left).","You killed 9914x of your 10000 remaining kills, you now have 86 kills remaining."],"newKC":9914}
Abyssal Demon	mage-def	374k XP/hr	72.3k	72.3k	72.3k	0	0	72.1k	54.2k		579.5 Sharks/hr	 Loot/hr	5877.6/hr Water rune,3918.4/hr Death rune,1959.2/hr Blood rune,579.5/hr Shark Cost/hr	{"duration":97843200,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["magic","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":28},"messages":["15.00% for stats","10% for KC","55% for Ice Barrage","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 1.68% per min (medium peak time)\n**Death Chance:** 2.41% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.32x from risky Wilderness experience, 1x from being in no multi)","Removing items: 53.2k Blood rune, 106.5k Death rune, 15.8k Shark, 159.7k Water rune"]}	{"quantity":9828,"messages":["You missed out on 172x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank.","835380 Prayer XP from purifying 9828x Abyssal ashes using the Ash Sanctifier (990172 charges left).","You killed 9828x of your 10000 remaining kills, you now have 172 kills remaining."],"newKC":9828}
Abyssal Demon	mage-def	259k XP/hr	0	0	75.1k	75.1k	0	49.9k	37.5k		401.2 Sharks/hr	 Loot/hr	3918.4/hr Water rune,1959.2/hr Death rune,3918.4/hr Chaos rune,401.2/hr Shark Cost/hr	{"duration":141325800,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["magic","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":42},"messages":["15.00% for stats","10% for KC","35% for Ice Burst","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 1.68% per min (medium peak time)\n**Death Chance:** 2.03% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.27x from risky Wilderness experience, 1x from being in no multi)","Removing items: 153.8k Chaos rune, 76.9k Death rune, 15.8k Shark, 153.8k Water rune"]}	{"quantity":9822,"messages":["You missed out on 178x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank.","834870 Prayer XP from purifying 9822x Abyssal ashes using the Ash Sanctifier (990178 charges left).","You killed 9822x of your 10000 remaining kills, you now have 178 kills remaining."],"newKC":9822}
Abyssal Demon	mage-def	258k XP/hr	0	0	74.9k	0	74.9k	49.8k	37.4k		401.2 Sharks/hr	 Loot/hr	3918.4/hr Water rune,1959.2/hr Death rune,3918.4/hr Chaos rune,401.2/hr Shark Cost/hr	{"duration":141325800,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["magic","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":48},"messages":["15.00% for stats","10% for KC","35% for Ice Burst","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 1.68% per min (medium peak time)\n**Death Chance:** 1.72% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.23x from risky Wilderness experience, 1x from being in no multi)","Removing items: 153.8k Chaos rune, 76.9k Death rune, 15.8k Shark, 153.8k Water rune"]}	{"quantity":9796,"messages":["You missed out on 204x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank.","832660 Prayer XP from purifying 9796x Abyssal ashes using the Ash Sanctifier (990204 charges left).","You killed 9796x of your 10000 remaining kills, you now have 204 kills remaining."],"newKC":9796}
Abyssal Demon	mage-def	168k XP/hr	0	0	48.7k	48.7k	0	32.4k	24.4k		260.8 Sharks/hr	 Loot/hr	260.8/hr Shark Cost/hr	{"duration":217413000,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["magic","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":70},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 1.68% per min (medium peak time)\n**Death Chance:** 1.45% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.19x from risky Wilderness experience, 1x from being in no multi)","Removing items: 15.8k Shark"]}	{"quantity":9807,"messages":["You missed out on 193x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank.","833595 Prayer XP from purifying 9807x Abyssal ashes using the Ash Sanctifier (990193 charges left).","You killed 9807x of your 10000 remaining kills, you now have 193 kills remaining."],"newKC":9807}
Abyssal Demon	mage-def	629k XP/hr	121.5k	121.5k	121.5k	0	0	121.2k	91.1k		956.9 Sharks/hr	 Loot/hr	5877.6/hr Water rune,3918.4/hr Death rune,1959.2/hr Blood rune,956.9/hr Shark Cost/hr	{"duration":59250800,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["magic","defence"],"currentTaskOptions":{},"messages":["15.00% for stats","10% for KC","10% for Arclight","5% for Saradomin godsword","16.67% for Black mask on task","55% for Ice Barrage","15% boost for Kodai wand","2% for Shark","Removing items: 32.2k Blood rune, 64.5k Death rune, 15.8k Shark, 96.7k Water rune"]}	{"quantity":10000,"messages":["850000 Prayer XP from purifying 10000x Abyssal ashes using the Ash Sanctifier (990000 charges left).","**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Abyssal Demon	mage-def	629k XP/hr	0	0	182.3k	0	182.3k	121.2k	91.1k		956.9 Sharks/hr	 Loot/hr	5877.6/hr Water rune,3918.4/hr Death rune,1959.2/hr Blood rune,956.9/hr Shark Cost/hr	{"duration":59250800,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["magic","defence"],"currentTaskOptions":{},"messages":["15.00% for stats","10% for KC","10% for Arclight","5% for Saradomin godsword","16.67% for Black mask on task","55% for Ice Barrage","15% boost for Kodai wand","2% for Shark","Removing items: 32.2k Blood rune, 64.5k Death rune, 15.8k Shark, 96.7k Water rune"]}	{"quantity":10000,"messages":["850000 Prayer XP from purifying 10000x Abyssal ashes using the Ash Sanctifier (990000 charges left).","**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Abyssal Demon	mage-def	629k XP/hr	0	0	182.3k	182.3k	0	121.2k	91.1k		956.9 Sharks/hr	 Loot/hr	5877.6/hr Water rune,3918.4/hr Death rune,1959.2/hr Blood rune,956.9/hr Shark Cost/hr	{"duration":59250800,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["magic","defence"],"currentTaskOptions":{},"messages":["15.00% for stats","10% for KC","10% for Arclight","5% for Saradomin godsword","16.67% for Black mask on task","55% for Ice Barrage","15% boost for Kodai wand","2% for Shark","Removing items: 32.2k Blood rune, 64.5k Death rune, 15.8k Shark, 96.7k Water rune"]}	{"quantity":10000,"messages":["850000 Prayer XP from purifying 10000x Abyssal ashes using the Ash Sanctifier (990000 charges left).","**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Abyssal Demon	mage-def	240k XP/hr	0	0	69.7k	69.7k	0	46.4k	34.9k		366.0 Sharks/hr	 Loot/hr	366.0/hr Shark Cost/hr	{"duration":154908600,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["magic","defence"],"currentTaskOptions":{},"messages":["15.00% for stats","10% for KC","10% for Arclight","5% for Saradomin godsword","16.67% for Black mask on task","2% for Shark","Removing items: 15.8k Shark"]}	{"quantity":10000,"messages":["850000 Prayer XP from purifying 10000x Abyssal ashes using the Ash Sanctifier (990000 charges left).","**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
