|                    Item name                    |                                                                                     Input Items                                                                                      |                                                                                     Output Items                                                                                     | GP Cost |
|                                         Cabbage |                                                                                   1x Cabbages(10)                                                                                    | 10x Cabbage                                                                                                                                                                          |       0 |
|                            Bucket of sand (1kg) |                                                                            1x Bucket, 1x Sandstone (1kg)                                                                             | 1x Bucket of sand                                                                                                                                                                    |      50 |
|                            Bucket of sand (2kg) |                                                                            2x Bucket, 1x Sandstone (2kg)                                                                             | 2x Bucket of sand                                                                                                                                                                    |     100 |
|                            Bucket of sand (5kg) |                                                                            4x Bucket, 1x Sandstone (5kg)                                                                             | 4x Bucket of sand                                                                                                                                                                    |     200 |
|                           Bucket of sand (10kg) |                                                                            8x Bucket, 1x Sandstone (10kg)                                                                            | 8x Bucket of sand                                                                                                                                                                    |     400 |
|                        Eldritch nightmare staff |                                                                         1x Eldritch orb, 1x Nightmare staff                                                                          | 1x Eldritch nightmare staff                                                                                                                                                          |       0 |
|                      Harmonised nightmare staff |                                                                        1x Harmonised orb, 1x Nightmare staff                                                                         | 1x Harmonised nightmare staff                                                                                                                                                        |       0 |
|                        Volatile nightmare staff |                                                                         1x Nightmare staff, 1x Volatile orb                                                                          | 1x Volatile nightmare staff                                                                                                                                                          |       0 |
|                                Zamorak's grapes |                                                                           1x Bologa's blessing, 1x Grapes                                                                            | 1x Zamorak's grapes                                                                                                                                                                  |       0 |
|                                     Toad's legs |                                                                                    1x Swamp toad                                                                                     | 1x Toad's legs                                                                                                                                                                       |       0 |
|                                  Pegasian boots |                                                                         1x Pegasian crystal, 1x Ranger boots                                                                         | 1x Pegasian boots                                                                                                                                                                    |       0 |
|                                Primordial boots |                                                                        1x Dragon boots, 1x Primordial crystal                                                                        | 1x Primordial boots                                                                                                                                                                  |       0 |
|                                   Eternal boots |                                                                        1x Eternal crystal, 1x Infinity boots                                                                         | 1x Eternal boots                                                                                                                                                                     |       0 |
|                                      Kodai wand |                                                                          1x Kodai insignia, 1x Master wand                                                                           | 1x Kodai wand                                                                                                                                                                        |       0 |
|                                Partyhat & specs |                                                                      1x Blue partyhat, 1x Sagacious spectacles                                                                       | 1x Partyhat & specs                                                                                                                                                                  |       0 |
|                                   Ivandis Flail |                                                                             1x Emerald, 1x Silver sickle                                                                             | 1x Ivandis flail                                                                                                                                                                     |       0 |
|                               Blisterwood Flail |                                                                              1x Ivandis flail, 1x Ruby                                                                               | 1x Blisterwood flail                                                                                                                                                                 |       0 |
|                          Spirit angler headband |                                                                          1x Angler hat, 1.2k Spirit flakes                                                                           | 1x Spirit angler headband                                                                                                                                                            |       0 |
|                               Spirit angler top |                                                                          1x Angler top, 1.2k Spirit flakes                                                                           | 1x Spirit angler top                                                                                                                                                                 |       0 |
|                            Spirit angler waders |                                                                         1x Angler waders, 1.2k Spirit flakes                                                                         | 1x Spirit angler waders                                                                                                                                                              |       0 |
|                             Spirit angler boots |                                                                         1x Angler boots, 1.2k Spirit flakes                                                                          | 1x Spirit angler boots                                                                                                                                                               |       0 |
|                            Bottled dragonbreath |                                                                               10x Dragonfruit, 1x Vial                                                                               | 1x Bottled dragonbreath                                                                                                                                                              |       0 |
|                               Ring of endurance |                                                               1x Ring of endurance (uncharged), 125x Stamina potion(4)                                                               | 1x Ring of endurance                                                                                                                                                                 |       0 |
|                                Fish sack barrel |                                                                             1x Fish barrel, 1x Fish sack                                                                             | 1x Fish sack barrel                                                                                                                                                                  |       0 |
|                                Salve amulet (e) |                                                                                   1x Salve amulet                                                                                    | 1x Salve amulet (e)                                                                                                                                                                  |       0 |
|                                Salve amulet(ei) |                                                                                  1x Salve amulet(i)                                                                                  | 1x Salve amulet(ei)                                                                                                                                                                  |       0 |
|                              Ring of wealth (i) |                                                                     1x Ring of wealth, 1x Ring of wealth scroll                                                                      | 1x Ring of wealth (i)                                                                                                                                                                |   50000 |
|                           Strange hallowed tome |                                     1x Mysterious page 1, 1x Mysterious page 2, 1x Mysterious page 3, 1x Mysterious page 4, 1x Mysterious page 5                                     | 1x Strange hallowed tome                                                                                                                                                             |       0 |
|                                      Frozen key |                             1x Frozen key piece (armadyl), 1x Frozen key piece (bandos), 1x Frozen key piece (saradomin), 1x Frozen key piece (zamorak)                              | 1x Frozen key                                                                                                                                                                        |       0 |
|                                  Ecumenical key |                                                                               50x Ecumenical key shard                                                                               | 1x Ecumenical key                                                                                                                                                                    |       0 |
|                                 Daeyalt essence |                                                                                   1x Daeyalt shard                                                                                   | 1x Daeyalt essence                                                                                                                                                                   |       0 |
|                                Celestial signet |                                                         1x Celestial ring, 100x Crystal shard, 1x Elven signet, 1k Stardust                                                          | 1x Celestial signet                                                                                                                                                                  |       0 |
|                        Eternal teleport crystal |                                                                100x Crystal shard, 1x Enhanced crystal teleport seed                                                                 | 1x Eternal teleport crystal                                                                                                                                                          |       0 |
|                                 Saturated heart |                                                                        150k Ancient essence, 1x Imbued heart                                                                         | 1x Saturated heart                                                                                                                                                                   |       0 |
|                            Trident of the swamp |                                                                     1x Magic fang, 1x Trident of the seas (full)                                                                     | 1x Trident of the swamp                                                                                                                                                              |       0 |
|                                       Voidwaker |                                                         500k Coins, 1x Voidwaker blade, 1x Voidwaker gem, 1x Voidwaker hilt                                                          | 1x Voidwaker                                                                                                                                                                         |       0 |
|                            Accursed sceptre (u) |                                                             500k Coins, 1x Skull of vet'ion, 1x Thammaron's sceptre (u)                                                              | 1x Accursed sceptre (u)                                                                                                                                                              |       0 |
|                            Ursine chainmace (u) |                                                             1x Claws of callisto, 500k Coins, 1x Viggora's chainmace (u)                                                             | 1x Ursine chainmace (u)                                                                                                                                                              |       0 |
|                               Webweaver bow (u) |                                                                 500k Coins, 1x Craw's bow (u), 1x Fangs of venenatis                                                                 | 1x Webweaver bow (u)                                                                                                                                                                 |       0 |
|                                       Bone mace |                                                                           1x Rune mace, 1x Scurrius' spine                                                                           | 1x Bone mace                                                                                                                                                                         |       0 |
|                                   Bone shortbow |                                                                         1x Scurrius' spine, 1x Yew shortbow                                                                          | 1x Bone shortbow                                                                                                                                                                     |       0 |
|                                      Bone staff |                                                                  1x Battlestaff, 1k Chaos rune, 1x Scurrius' spine                                                                   | 1x Bone staff                                                                                                                                                                        |       0 |
|                   Antique lamp (Historian Aldo) |                                                                                  1x Scurrius' spine                                                                                  | 1x Antique lamp (Historian Aldo)                                                                                                                                                     |       0 |
|                         Venator bow (uncharged) |                                                                                   5x Venator shard                                                                                   | 1x Venator bow (uncharged)                                                                                                                                                           |       0 |
|                         Blessed dizana's quiver |                                                                1x Dizana's quiver (uncharged), 150k Sunfire splinters                                                                | 1x Blessed dizana's quiver                                                                                                                                                           |       0 |
|                               Dizana's max cape |                                                                 1x Blessed dizana's quiver, 1x Max cape, 1x Max hood                                                                 | 1x Dizana's max cape, 1x Dizana's max hood                                                                                                                                           |       0 |
|                                 Noxious halberd |                                                                1x Noxious blade, 1x Noxious point, 1x Noxious pommel                                                                 | 1x Noxious halberd                                                                                                                                                                   |       0 |
|                           Araxyte slayer helmet |                                                                          1x Araxyte head, 1x Slayer helmet                                                                           | 1x Araxyte slayer helmet                                                                                                                                                             |       0 |
|                       Araxyte slayer helmet (i) |                                                                        1x Araxyte head, 1x Slayer helmet (i)                                                                         | 1x Araxyte slayer helmet (i)                                                                                                                                                         |       0 |
|                                             Rax |                                                                             1x Coagulated venom, 1x Nid                                                                              | 1x Rax                                                                                                                                                                               |       0 |
|                                      Revert Rax |                                                                                        1x Rax                                                                                        | 1x Coagulated venom, 1x Nid                                                                                                                                                          |       0 |
|                           Amulet of rancour (s) |                                                                                 1x Amulet of rancour                                                                                 | 1x Amulet of rancour (s)                                                                                                                                                             |       0 |
|                    Revert Amulet of rancour (s) |                                                                               1x Amulet of rancour (s)                                                                               | 1x Amulet of rancour                                                                                                                                                                 |       0 |
